run_id,system_id,model_id,provider,hardware,gpu_name,prompt_id,started_at,finished_at,n_pages,n_failed,notes
gemini-3.5-flash__r0,gemini-3.5-flash,gemini-3.5-flash,google,api,,page_v1,2026-09-03T14:56:33+00:00,2026-09-05T14:02:43+00:00,86,0,the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
gemini-3.5-flash-think__r0,gemini-3.5-flash-think,gemini-3.5-flash,google,api,,page_v1,2026-09-03T15:09:47+00:00,2026-09-05T14:06:57+00:00,29,0,the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
gemini-3.8-flash__r0,gemini-3.8-flash,gemini-3.8-flash,google,api,,page_v1,2026-09-03T15:07:03+00:00,2026-09-05T14:03:23+00:00,86,6,the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
gemini-3.5-flash-lite__r0,gemini-3.5-flash-lite,gemini-3.5-flash-lite,google,api,,page_v1,2026-09-03T15:03:56+00:00,2026-09-05T14:03:51+00:00,86,0,the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
gemini-3.1-pro__r0,gemini-3.1-pro,gemini-3.1-pro-preview,google,api,,page_v1,2026-09-03T15:14:06+00:00,2026-09-05T14:05:14+00:00,29,0,the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
claude-sonnet-5__r0,claude-sonnet-5,claude-sonnet-5,anthropic,api,,page_v1,2026-09-03T15:34:20+00:00,2026-09-05T14:04:50+00:00,86,0,the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
claude-opus-5__r0,claude-opus-5,claude-opus-5,anthropic,api,,page_v1,2026-09-03T15:50:04+00:00,2026-09-05T14:06:15+00:00,29,0,the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
transkribus-german-genius__r0,transkribus-german-genius,265149,transkribus,transkribus_cloud,,none,2026-09-06T19:26:51+00:00,2026-09-06T19:26:51+00:00,86,0,imported from the PAGE-XML export of the web-app job (2026-09-06)
transkribus-text-titan-ii__r0,transkribus-text-titan-ii,579509,transkribus,transkribus_cloud,,none,2026-09-06T19:26:42+00:00,2026-09-06T19:26:42+00:00,86,0,imported from the PAGE-XML export of the web-app job (2026-09-06)
trocr-kurrent-xvi-xvii__r0,trocr-kurrent-xvi-xvii,dh-unibe/trocr-kurrent-XVI-XVII,huggingface,rtx5060_8gb,NVIDIA GeForce RTX 5060,page_v1,2026-09-03T15:09:20+00:00,2026-09-05T14:08:57+00:00,86,0,the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
kraken-kurrent-xix__r0,kraken-kurrent-xix,models/kraken/kraken_german_finetuned.mlmodel,local,cpu_local,NVIDIA GeForce RTX 5060,page_v1,2026-09-03T16:29:51+00:00,2026-09-05T14:09:37+00:00,86,0,the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
olmocr-2-7b__r0,olmocr-2-7b,allenai/olmOCR-2-7B-1025,huggingface,modal_a100,NVIDIA A100-SXM4-80GB,page_v1,2026-09-05T14:06:38Z,2026-09-05T14:14:37Z,86,2,"Ratsprotokolle and Humboldt pages ran on a Colab A100 without a power log, forst and Laubmann pages on a Modal A100 with one; params.run_info describes the Modal part; the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)"
paddleocr-vl-1.6__r0,paddleocr-vl-1.6,PaddlePaddle/PaddleOCR-VL-1.6,paddle,modal_a10g,NVIDIA A10,page_v1,2026-09-05T18:07:58Z,2026-09-05T19:36:13Z,86,1,imported through the bundle contract from the GPU named in params.run_info; the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
churro-3b__r0,churro-3b,stanford-oval/churro-3B,huggingface,modal_a100,NVIDIA A100-SXM4-80GB,page_v1,2026-09-05T14:15:33Z,2026-09-05T14:25:18Z,18,0,imported through the bundle contract from the GPU named in params.run_info
qwen3-vl-4b__r0,qwen3-vl-4b,Qwen/Qwen3-VL-4B-Instruct,huggingface,modal_a10g,NVIDIA A10,page_v1,2026-09-05T14:42:21Z,2026-09-05T14:53:17Z,86,1,imported through the bundle contract from the GPU named in params.run_info; the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
qwen3-vl-8b__r0,qwen3-vl-8b,Qwen/Qwen3-VL-8B-Instruct,huggingface,modal_a100,NVIDIA A100-SXM4-80GB,page_v1,2026-09-05T15:05:09Z,2026-09-05T15:21:45Z,86,1,"Ratsprotokolle and Humboldt pages ran on a Colab A100 without a power log, forst and Laubmann pages on a Modal A100 with one; params.run_info describes the Modal part; the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)"
qwen3-vl-32b__r0,qwen3-vl-32b,Qwen/Qwen3-VL-32B-Instruct,huggingface,modal_h100,NVIDIA H100 80GB HBM3,page_v1,2026-09-05T14:54:18Z,2026-09-05T15:04:19Z,86,0,imported through the bundle contract from the GPU named in params.run_info; the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
nanonets-ocr2-3b__r0,nanonets-ocr2-3b,nanonets/Nanonets-OCR2-3B,huggingface,modal_a100,NVIDIA A100-SXM4-80GB,page_v1,2026-09-05T14:26:00Z,2026-09-05T14:41:49Z,86,0,imported through the bundle contract from the GPU named in params.run_info; the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
internvl3.5-8b__r0,internvl3.5-8b,OpenGVLab/InternVL3_5-8B-HF,huggingface,modal_a100,NVIDIA A100-SXM4-80GB,page_v1,2026-09-05T15:22:40Z,2026-09-05T15:31:36Z,86,3,imported through the bundle contract from the GPU named in params.run_info; the five forst spreads were cut into halves after this run and its output was divided between them (2026-09-06; the halves carry _L and _R)
